time,open,high,low,close,EMA,Smoothing Line,EMA,Smoothing Line,Volume,Volume MA
2022-08-23T15:40:00-04:00,401.18,401.64,401.18,401.43,400.0169731320474,399.9568789943513,400.14196056085984,400.0842430609162,166,268
2022-08-23T15:45:00-04:00,401.4,401.4,400.55,400.87,400.03531779587433,399.98559127404275,400.1585069117494,400.111692082259,402,268.6
2022-08-23T15:50:00-04:00,400.54,401.04,400.15,401.03,400.05670881101685,400.01162156922464,400.178313572846,400.13633544402586,673,322
2022-08-23T15:55:00-04:00,401.09,401.5,400.86,401.32,400.0838763634681,400.035758739779,400.20426099164496,400.1590096384798,1997,678.2
2022-08-24T09:30:00-04:00,403.7,404.04,401.03,401.03,400.10422310833974,400.05941984214934,400.22302778728937,400.18121396487805,722,792
2022-08-24T09:35:00-04:00,400.25,402.87,400.19,402.87,400.16370218127867,400.0887656519955,400.2831862466692,400.2094591020399,151,789
2022-08-24T09:40:00-04:00,401.94,403.09,401.94,403.03,400.2253429945845,400.1267706917376,400.3456138319722,400.2468804860844,42,717
2022-08-24T09:45:00-04:00,402.98,403,401.85,402.74,400.2794216398622,400.17131325750665,400.40003169942736,400.2912241114007,246,631.6
2022-08-24T09:50:00-04:00,402.62,403.91,402.62,403.91,400.3574985938437,400.2260377035817,400.47980370625856,400.3463326543234,732,378.6
2022-08-24T09:55:00-04:00,403.21,403.73,402.72,402.72,400.4083050756965,400.28685409705315,400.5307172583891,400.40787054854337,235,281.2
2022-08-24T10:00:00-04:00,403.43,404.33,403.43,403.95,400.4844705579396,400.3510077723853,400.6084282297893,400.4729189451674,592,369.4
2022-08-24T10:05:00-04:00,404.26,404.43,403.96,404.27,400.5658797932527,400.419115132119,400.69164577002135,400.54212533277723,33,367.6
2022-08-24T10:10:00-04:00,404.33,404.79,403.94,404.68,400.6543554966236,400.49410190347123,400.78229018433905,400.6185770297596,277,373.8
2022-08-24T10:15:00-04:00,404.93,406.6,404.92,406.6,400.78221881927686,400.5790459485579,400.9145108619677,400.7055184609014,243,276
2022-08-24T10:20:00-04:00,406.92,407.34,406.6,407.34,400.9232463715505,400.68203420772863,401.0605447060139,400.81148395042635,77,244.4
2022-08-24T10:25:00-04:00,407.41,408.17,407.41,407.65,401.06790773990423,400.7987216441216,401.2103050536045,400.9318593151894,828,291.6
2022-08-24T10:30:00-04:00,407.57,408.2,407.57,408.15,401.2202107992611,400.9295878453232,401.3680253932953,401.0671352398442,231,331.2
2022-08-24T10:35:00-04:00,408.46,409.05,408.27,408.76,401.3823568035781,401.0751881067141,401.5360248161749,401.2178821662114,272,330.2
2022-08-24T10:40:00-04:00,408.65,408.65,407.67,408.56,401.5367147217807,401.2260872872149,401.6956606158073,401.3741121169793,226,326.8
2022-08-24T10:45:00-04:00,408.58,408.98,408.16,408.98,401.6967853729252,401.38079508748984,401.86121378362986,401.53424593250253,376,386.6
2022-08-24T10:50:00-04:00,409,410.36,409,410.29,401.88158568748594,401.5435306770062,402.0527771067292,401.70274034312746,1291,479.2
2022-08-24T10:55:00-04:00,410.02,411.58,410.01,411.15,402.08090642538946,401.71566980223184,402.25953217248536,401.88104169896553,954,623.8
2022-08-24T11:00:00-04:00,411.33,412.18,411.22,411.91,402.2922847818327,401.8976553978828,402.47886098674707,402.0696089330799,558,681
2022-08-24T11:05:00-04:00,411.85,412.29,411.75,411.87,402.49825715211585,402.08996388394974,402.692295964321,402.26893600278265,281,692
2022-08-24T11:10:00-04:00,411.85,413.31,411.85,413.31,402.7307677509951,402.29676035956373,402.93360741967734,402.4834147299922,608,738.4
2022-08-24T11:15:00-04:00,413.32,414,413.23,413.53,402.9630093047371,402.51304508301394,403.1744345237756,402.70774621340144,420,564.2
2022-08-24T11:20:00-04:00,413.09,413.21,412.16,412.16,403.1607940508718,402.7290226081104,403.3786519209625,402.93157016309686,273,428
2022-08-24T11:25:00-04:00,412.43,412.9,412.26,412.6,403.3637877271971,402.94332319718336,403.5882280136679,403.153443568481,954,507.2
2022-08-24T11:30:00-04:00,412.63,413.03,412.05,412.21,403.55402885134345,403.15447753702887,403.7841773769936,403.3718198510156,465,544
2022-08-24T11:35:00-04:00,412.27,412.42,411.9,412.1,403.737813177121,403.35588662225405,403.97317334569834,403.57973303621975,261,474.6
2022-08-24T11:40:00-04:00,412.53,413.21,412.53,413.21,403.9415161195485,403.5515879852163,404.1831012242052,403.7814663763057,172,425
2022-08-24T11:45:00-04:00,413.74,413.74,412.86,413.09,404.1382577083754,403.7470807167171,404.3855307418369,403.98284214048056,687,507.8
2022-08-24T11:50:00-04:00,412.99,413.17,411.65,412.93,404.32732743507705,403.9397886582931,404.57972322497693,404.18114118274235,898,496.6
