time,open,high,low,close,Volume,Volume MA
2008-03-11T09:30:00-04:00,13.04,13.35,12.73,12.82,137858,143204.4
2008-03-12T09:30:00-04:00,12.86,13.15,12.14,12.22,176753,156510
2008-03-13T09:30:00-04:00,12,12,10.44,10.49,271105,186462.4
2008-03-14T09:30:00-04:00,10.8,11,10.08,10.7,691423,301161
2008-03-17T09:30:00-04:00,10.15,11.51,10.14,11.28,175216,290471
2008-03-18T09:30:00-04:00,11.7,11.93,11,11.8,254946,313888.6
2008-03-19T09:30:00-04:00,12,12.26,11.46,11.5,240100,326558
2008-03-20T09:30:00-04:00,10.71,13.35,10.35,12.78,745873,421511.6
2008-03-24T09:30:00-04:00,13.03,14.96,12.51,13.99,205511,324329.2
2008-03-25T09:30:00-04:00,13.88,17.12,13.88,15.02,390051,367296.2
2008-03-26T09:30:00-04:00,14.89,14.89,14.29,14.65,131420,342591
2008-03-27T09:30:00-04:00,14.73,14.73,13.9,14.47,113697,317310.4
2008-03-28T09:30:00-04:00,14.4,14.66,14.02,14.02,147101,197556
2008-03-31T09:30:00-04:00,14.16,14.46,13.63,14.04,163511,189156
2008-04-01T09:30:00-04:00,14,14.84,14,14.32,266137,164373.2
2008-04-02T09:30:00-04:00,14.35,14.48,13.98,13.98,142847,166658.6
2008-04-03T09:30:00-04:00,13.81,14.15,13.81,14.07,100769,164073
2008-04-04T09:30:00-04:00,14.11,14.11,13.5001,13.82,133291,161311
2008-04-07T09:30:00-04:00,13.89,14.03,13.49,13.52,94993,147607.4
2008-04-08T09:30:00-04:00,13.32,14.9,13.32,14.18,194591,133298.2
2008-04-09T09:30:00-04:00,14.25,14.27,13.55,13.73,198808,144490.4
2008-04-10T09:30:00-04:00,13.76,14.99,13.73,14.91,129359,150208.4
2008-04-11T09:30:00-04:00,14.85,14.88,14.24,14.3,120849,147720
2008-04-14T09:30:00-04:00,14.36,14.85,14.06,14.41,116044,151930.2
2008-04-15T09:30:00-04:00,14.42,14.53,14.1,14.22,48133,122638.6
2008-04-16T09:30:00-04:00,14.28,14.62,14.03,14.12,125527,107982.4
2008-04-17T09:30:00-04:00,14,14.15,13.8,14,77059,97522.4
2008-04-18T09:30:00-04:00,14.18,14.19,13.82,14.1,141546,101661.8
2008-04-21T09:30:00-04:00,14.06,14.39,14.02,14.04,118630,102179
2008-04-22T09:30:00-04:00,13.89,14.04,13.21,13.27,159219,124396.2
2008-04-23T09:30:00-04:00,13.4,13.48,12.98,13.29,237292,146749.2
2008-04-24T09:30:00-04:00,13.21,13.61,12.95,13.4,512656,233868.6
2008-04-25T09:30:00-04:00,13.4,14,13.37,13.88,761426,357844.6
2008-04-28T09:30:00-04:00,13.91,14,13.76,13.81,193951,372908.8
2008-04-29T09:30:00-04:00,13.74,14.27,13.74,14.17,398000,420665
2008-04-30T09:30:00-04:00,14.24,14.26,14,14.15,728141,518834.8
2008-05-01T09:30:00-04:00,14.15,15,14.1,14.96,837567,583817
2008-05-02T09:30:00-04:00,15.04,15.31,14.72,14.85,421266,515785
2008-05-05T09:30:00-04:00,14.74,14.76,14.41,14.55,500930,577180.8
